Lancaster_WPP 13 MD Mojave Desert Lancaster Water Reclamation Plant Lancaster Los Angeles flat inland 1661.423154 34.785119 -118.155984 flat-inland-low 13 34.785119 -118.155984 11 394237.0028 3849822.729 -118.1883798 34.75775571 391237.0028 3846822.729 -118.1228334 34.75837782 397237.0028 3846822.729 -118.1235668 34.81247396 397237.0028 3852822.729 -118.189156 34.8118506 391237.0028 3852822.729
MONTEREY_WPCA 14 CC North Central Coast MONTEREY REG. WPCA Marina Monterey hilly or mountainous coastal 2219.765151 36.70564 -121.769894 hilly or mountainous-coastal-low 14 36.70564 -121.769894 10 609872.8898 4062923.895 -121.8038934 36.6789435 606872.8898 4059923.895 -121.7367566 36.67825014 612872.8898 4059923.895 -121.7358711 36.73232622 612872.8898 4065923.895 -121.8030549 36.73302094 606872.8898 4065923.895
Palm_WPCP 15 SS Salton Sea Palm Springs WWTP Palm Springs Riverside hilly or mountainous inland 473.3710471 33.80629 -116.498436 hilly or mountainous-inland-low 15 33.80629 -116.498436 11 546423.4492 3740791.192 -116.5309949 33.77936077 543423.4492 3737791.192 -116.4661928 33.77909747 549423.4492 3737791.192 -116.4658567 33.83321034 549423.4492 3743791.192 -116.5306996 33.83347417 543423.4492 3743791.192
Porterville_WWTF 16 SJ San Joaquin Valley Porterville WWTF Porterville Tulare hilly or mountainous inland 3076.277648 36.076366 -119.048096 hilly or mountainous-inland-high 16 36.076366 -119.048096 11 315575.9621 3994360.112 -119.0806804 36.04876251 312575.9621 3991360.112 -119.0141093 36.04989982 318575.9621 3991360.112 -119.0154889 36.10396125 318575.9621 3997360.112 -119.0821055 36.10282169 312575.9621 3997360.112
Redding_WWTP 17 SV Sacramento Valley Redding Clear Creek WWTP Redding Shasta hilly or mountainous inland 1506.547428 40.50298 -122.369441 hilly or mountainous-inland-low 17 40.50298 -122.369441 10 553427.5025 4483776.461 -122.4050843 40.47614211 550427.5025 4480776.461 -122.3343039 40.47575611 556427.5025 4480776.461 -122.3337693 40.52980656 556427.5025 4486776.461 -122.4046065 40.53019329 550427.5025 4486776.461
Sacramento 18 SV Sacramento Valley Sacramento Regional County Sanitation District Elk Grove Sacramento flat inland 3626.820618 38.448653 -121.463686 flat-inland-high 18 38.448653 -121.463686 10 634062.0434 4256713.676 -121.4986141 38.42207131 631062.0434 4253713.676 -121.4299042 38.42117072 637062.0434 4253713.676 -121.4287323 38.47522361 637062.0434 4259713.676 -121.4974934 38.47612594 631062.0434 4259713.676
SanDiego_Metro 19 SD San Diego San Diego Metro Biosolids Center San Diego San Diego hilly or mountainous coastal 4020.449496 32.841723 -117.159168 hilly or mountainous-coastal-high 19 32.841723 -117.159168 11 485104.6893 3633751.784 -117.1911672 32.8146164 482104.6893 3630751.784 -117.1270722 32.81469786 488104.6893 3630751.784 -117.1271493 32.86882136 488104.6893 3636751.784 -117.1912833 32.86873974 482104.6893 3636751.784
SanJose_WPCP 20 SF San Francisco Bay San Jose/Santa Clara WPCP San Jose Santa Clara flat coastal 5358.643555 37.432731 -121.945137 flat-coastal-high 20 37.432731 -121.945137 10 593324.3884 4143400.598 -121.9794086 37.40599167 590324.3884 4140400.598 -121.9116243 37.40538707 596324.3884 4140400.598 -121.910841 37.4594599 596324.3884 4146400.598 -121.978674 37.46006568 590324.3884 4146400.598
SOCWA_TP 21 SC South Coast SOCWA J. B. LATHAM TP Dana Point Orange hilly or mountainous coastal 5133.151557 33.466431 -117.683919 hilly or mountainous-coastal-high 21 33.466431 -117.683919 11 436448.8221 3703206.635 -117.7159796 33.43919164 433448.8221 3700206.635 -117.6514334 33.4395475 439448.8221 3700206.635 -117.6518384 33.49366219 439448.8221 3706206.635 -117.7164247 33.49330561 433448.8221 3706206.635
Southeast_WPCP 22 SF San Francisco Bay Southeast Water Pollution Control Plant San Francisco San Francisco hilly or mountainous coastal 17179.16448 37.740667 -122.391201 hilly or mountainous-coastal-high 22 37.740667 -122.391201 10 553638.8602 4177216.552 -122.4254582 37.71379935 550638.8602 4174216.552 -122.3573867 37.71344798 556638.8602 4174216.552 -122.356919 37.76752436 556638.8602 4180216.552 -122.4250401 37.76787641 550638.8602 4180216.552
Ukiah_WWTP 23 NC North Coast Ukiah WWTP Ukiah Mendocino hilly or mountainous inland 3441.893738 39.112339 -123.191581 hilly or mountainous-inland-high 23 39.112339 -123.191581 10 483436.9236 4329260.552 -123.2261946 39.08524341 480436.9236 4326260.552 -123.156821 39.08535735 486436.9236 4326260.552 -123.1569409 39.13942425 486436.9236 4332260.552 -123.2263675 39.13931009 480436.9236 4332260.552
Vacaville_WWTP 24 SV Sacramento Valley Vacaville Easterly WWTP Elmira Solano flat inland 455.5 38.343537 -121.903879 flat-inland-low 24 38.343537 -121.903879 10 595787.1835 4244500.738 -121.9385977 38.31682032 592787.1835 4241500.738 -121.8699751 38.31617921 598787.1835 4241500.738 -121.8691347 38.37024289 598787.1835 4247500.738 -121.9378084 38.37088524 592787.1835 4247500.738
Z-Best_Facility 25 SF San Francisco Bay Z Best Products Gilroy Santa Clara hilly or mountainous inland 3023.667048 36.9481043 -121.5240213 hilly or mountainous-inland-high 25 36.9481043 -121.5240213 10 631420.0475 4090133.055 -121.5582139 36.92148324 628420.0475 4087133.055 -121.490872 36.92064664 634420.0475 4087133.055 -121.4898049 36.97471487 634420.0475 4093133.055 -121.5571944 36.97555311 628420.0475 4093133.055
ZWEDC 26 SF San Francisco Bay ZWEDC San Jose Santa Clara flat coastal 5358.643555 37.43469 -121.9507 flat-coastal-high 26 37.43469 -121.9507 10 592827 4143612 -121.9850021 37.40794528 589827 4140612 -121.917216 37.40734386 595827 4140612 -121.9164367 37.46141678 595827 4146612 -121.9842716 37.46201937 589827 4146612
